system,method,sub_id,r2_mean,r2_A,r2_C
HCV_IRES,Deigan_Turner,2,0.22448314223204463,0.09002785368238748,0.3589384307817018
HCV_IRES,Deigan_Turner,3,0.17328404084812546,0.11064502108443104,0.23592306061181986
HCV_IRES,Deigan_Andronescu,0,0.05504534377464071,0.009299702925796006,0.10079098462348542
HCV_IRES,Deigan_Andronescu,1,0.049951268936681996,0.003580573868629532,0.09632196400473446
HCV_IRES,Deigan_Andronescu,2,0.2634644226635719,0.15082282596855093,0.37610601935859284
HCV_IRES,Deigan_Andronescu,3,0.2879006204977458,0.24686167149053287,0.3289395695049587
HCV_IRES,MERGE_Turner,0,0.5828157770645038,0.5923164182965892,0.5733151358324184
HCV_IRES,MERGE_Turner,1,0.5304726858611865,0.53797503802048,0.5229703337018929
HCV_IRES,MERGE_Turner,2,0.5423661796603021,0.5375642065156093,0.5471681528049948
HCV_IRES,MERGE_Andronescu,0,0.686917781674419,0.6792799338793736,0.6945556294694645
HCV_IRES,MERGE_Andronescu,1,0.6935526898013433,0.6873907186144254,0.6997146609882613
HCV_IRES,MERGE_Andronescu,2,0.6955768042577256,0.7325175954799497,0.6586360130355016
V_chol_gly_riboswitch,Vienna_MFE,0,0.21674847371875722,0.1800401406679243,0.25345680676959015
V_chol_gly_riboswitch,Vienna_BPP,0,0.25857104654137564,0.1848874985211051,0.3322545945616462
V_chol_gly_riboswitch,Deigan_Turner,0,0.3015796678798157,0.2306394410677435,0.3725198946918879
V_chol_gly_riboswitch,Deigan_Turner,1,0.2805218312230344,0.19619200346657711,0.3648516589794917
V_chol_gly_riboswitch,Deigan_Turner,2,0.34004904081496246,0.24377144566398856,0.4363266359659363
V_chol_gly_riboswitch,Deigan_Turner,3,0.32664813441780893,0.23664415250554371,0.4166521163300742
V_chol_gly_riboswitch,Deigan_Andronescu,0,0.38214159890859556,0.22734673697544946,0.5369364608417416
V_chol_gly_riboswitch,Deigan_Andronescu,1,0.36097969439682825,0.23552242237408422,0.4864369664195723
V_chol_gly_riboswitch,Deigan_Andronescu,2,0.34506552734255735,0.23502037881257576,0.45511067587253895
V_chol_gly_riboswitch,Deigan_Andronescu,3,0.3467250746009939,0.22400562310398747,0.4694445260980003
V_chol_gly_riboswitch,MERGE_Turner,0,0.6351296375693346,0.5140446816844609,0.7562145934542083
V_chol_gly_riboswitch,MERGE_Turner,1,0.6221869679216965,0.49555116439599467,0.7488227714473984
V_chol_gly_riboswitch,MERGE_Turner,2,0.6064635609416288,0.4766046955288761,0.7363224263543815
V_chol_gly_riboswitch,MERGE_Andronescu,0,0.6356766183037303,0.5054991175307155,0.765854119076745
V_chol_gly_riboswitch,MERGE_Andronescu,1,0.6013206096303167,0.45878436087959734,0.7438568583810361
V_chol_gly_riboswitch,MERGE_Andronescu,2,0.6231812617893384,0.5046967141942207,0.741665809384456
